topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,-0.567567568,-0.076923077,-0.189189189,-1.982142857,-3.222222222
ev,-0.162162162,0,-0.054054054,-0.089285714,0.037037037037037035
electric,-0.216216216,-0.038461538,-0.027027027,-0.178571429,-0.111111111
battery,-0.216216216,-0.153846154,-0.513513514,-0.285714286,-0.333333333
looks,-0.162162162,0,0,-0.053571429,0.037037037037037035
time,-0.459459459,0,-0.108108108,-0.232142857,-0.296296296
charging,0,0,0,-0.017857143,-0.037037037
range,-0.162162162,-0.038461538,-0.486486486,-0.035714286,0
price,-0.405405405,0,-0.189189189,-0.017857143,-0.148148148
use,-0.324324324,0,-0.189189189,-0.357142857,-0.222222222
