,channel,topics,Negative,Neutral,Positive
0,Bjorn Nyland,battery,67,37,90
1,Bjorn Nyland,charging,35,24,50
2,Bjorn Nyland,electric,12,14,28
3,Bjorn Nyland,ev,86,58,166
4,Bjorn Nyland,looks,8,4,8
5,Bjorn Nyland,price,6,5,16
6,Bjorn Nyland,range,25,12,31
7,Bjorn Nyland,tesla,15,20,25
8,Bjorn Nyland,time,32,16,56
9,Bjorn Nyland,use,31,19,64
10,E for Electric,battery,162,70,199
11,E for Electric,charging,220,104,405
12,E for Electric,electric,100,60,187
13,E for Electric,ev,784,314,1246
14,E for Electric,looks,18,12,52
15,E for Electric,price,75,31,133
16,E for Electric,range,109,43,193
17,E for Electric,tesla,720,289,1024
18,E for Electric,time,235,63,362
19,E for Electric,use,258,92,414
20,Electric Vehicle Man,battery,267,108,400
21,Electric Vehicle Man,charging,270,100,447
22,Electric Vehicle Man,electric,225,143,392
23,Electric Vehicle Man,ev,764,427,1416
24,Electric Vehicle Man,looks,17,7,41
25,Electric Vehicle Man,price,99,54,228
26,Electric Vehicle Man,range,294,79,479
27,Electric Vehicle Man,tesla,115,57,245
28,Electric Vehicle Man,time,295,112,455
29,Electric Vehicle Man,use,308,157,706
30,Fully Charged Show,battery,267,175,402
31,Fully Charged Show,charging,129,57,213
32,Fully Charged Show,electric,407,324,836
33,Fully Charged Show,ev,1432,1024,2524
34,Fully Charged Show,looks,306,359,513
35,Fully Charged Show,price,321,287,610
36,Fully Charged Show,range,246,208,513
37,Fully Charged Show,tesla,217,169,337
38,Fully Charged Show,time,335,164,569
39,Fully Charged Show,use,477,241,872
40,Now You Know,battery,225,97,378
41,Now You Know,charging,297,141,439
42,Now You Know,electric,484,275,775
43,Now You Know,ev,1836,859,2731
44,Now You Know,looks,48,26,102
45,Now You Know,price,224,78,293
46,Now You Know,range,119,48,242
47,Now You Know,tesla,816,591,1436
48,Now You Know,time,575,216,904
49,Now You Know,use,774,368,1194
