topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
tesla,0.2972972972972973,0.038461538461538464,0.43243243243243246,2.3392857142857144,3
ev,0.02702702702702703,0,0.13513513513513514,0.08928571428571429,0.2222222222222222
electric,-0.054054054,0.07692307692307693,0.10810810810810811,0.07142857142857142,0.1111111111111111
battery,0.4594594594594595,-0.230769231,0.5675675675675675,0.14285714285714285,-0.074074074
looks,-0.216216216,0,0,-0.017857143,0
time,0.4594594594594595,0.07692307692307693,0.32432432432432434,0.5,0.4444444444444444
charging,0,0,0,0.03571428571428571,0.037037037037037035
range,0.3783783783783784,-0.038461538,0.13513513513513514,0.125,0.2962962962962963
price,0.7027027027027027,0.07692307692307693,0.24324324324324326,0,0.3333333333333333
use,0.21621621621621623,-0.038461538,0.3783783783783784,0.08928571428571429,0.037037037037037035
