video_id,extracted_aspects,negative,neutral,positive
08H8R6pNiXI,absense,0,1,0
08H8R6pNiXI,absolutely fan boy,0,1,0
08H8R6pNiXI,air flow partner partner,1,0,0
08H8R6pNiXI,apple airplay,0,1,0
08H8R6pNiXI,apple carplay,0,1,0
08H8R6pNiXI,apples bananas,0,1,0
08H8R6pNiXI,automatically adjustable airvents,1,0,0
08H8R6pNiXI,autopilot standard,0,1,0
08H8R6pNiXI,bad battery range high speed,1,0,0
08H8R6pNiXI,beauty eye,0,1,0
08H8R6pNiXI,breaker,0,1,0
08H8R6pNiXI,cameras,0,1,0
08H8R6pNiXI,carplay android auto,0,1,0
08H8R6pNiXI,cases,0,1,0
08H8R6pNiXI,china km range,1,0,0
08H8R6pNiXI,comforting reasonable access,1,0,0
08H8R6pNiXI,compare prices,0,1,0
08H8R6pNiXI,comparison,0,1,1
08H8R6pNiXI,competition,0,1,0
08H8R6pNiXI,cost,1,0,0
08H8R6pNiXI,could one one comparisons brands models,0,1,0
08H8R6pNiXI,country,1,0,0
08H8R6pNiXI,cut production id slowing id output,0,1,0
08H8R6pNiXI,d fun enyaq,0,1,0
08H8R6pNiXI,d guts,1,0,0
08H8R6pNiXI,d som thing happend wel,0,1,0
08H8R6pNiXI,dc fast charging,0,1,0
08H8R6pNiXI,dc fast charging rate,0,1,0
08H8R6pNiXI,dealers,0,2,0
08H8R6pNiXI,dealership,1,0,0
08H8R6pNiXI,demand,0,1,0
08H8R6pNiXI,devils,0,1,0
08H8R6pNiXI,diess contributory factor,0,1,0
08H8R6pNiXI,disagree base autopilot industry,0,1,0
08H8R6pNiXI,doesnt dealer network worth talking owners,1,0,0
08H8R6pNiXI,drive model,0,1,0
08H8R6pNiXI,drives,1,0,0
08H8R6pNiXI,elmo money,0,1,0
08H8R6pNiXI,em,0,1,0
08H8R6pNiXI,enough ccs fast chargers,0,1,0
08H8R6pNiXI,etc model,1,0,0
08H8R6pNiXI,even close model,0,1,0
08H8R6pNiXI,evs,0,1,0
08H8R6pNiXI,example owners,0,1,0
08H8R6pNiXI,excellent build quality,1,0,0
08H8R6pNiXI,fan base,0,1,0
08H8R6pNiXI,frunk wasted opportunity opinion,0,1,0
08H8R6pNiXI,germany,1,0,0
08H8R6pNiXI,half usd bad marketing strategy,1,0,0
08H8R6pNiXI,hands test drive,0,1,0
08H8R6pNiXI,happends,0,1,0
08H8R6pNiXI,happy poor offended man,0,1,0
08H8R6pNiXI,head vent adjustements,0,1,0
08H8R6pNiXI,headed bankruptcy,0,1,0
08H8R6pNiXI,i,2,3,0
08H8R6pNiXI,id,1,2,0
08H8R6pNiXI,id year,0,1,0
08H8R6pNiXI,ids,0,1,0
08H8R6pNiXI,imho benefit,0,1,0
08H8R6pNiXI,improved updates,0,1,0
08H8R6pNiXI,inferior build quality tesla,1,0,0
08H8R6pNiXI,info minutes,0,1,0
08H8R6pNiXI,infotainment carplay cameras,1,0,0
08H8R6pNiXI,interesting deal breaker android auto apple play,0,1,0
08H8R6pNiXI,k apart price,0,1,0
08H8R6pNiXI,lengthy queues,0,1,0
08H8R6pNiXI,less fsd long intelligent cruse control lane,0,1,0
08H8R6pNiXI,listen,0,1,0
08H8R6pNiXI,lots info,0,1,0
08H8R6pNiXI,maker,1,0,0
08H8R6pNiXI,manual air vents,2,0,0
08H8R6pNiXI,many brands systems,0,1,0
08H8R6pNiXI,metric evs max rate minutes rate tapers,0,1,0
08H8R6pNiXI,miles home network dealers service departments,1,0,0
08H8R6pNiXI,minute length time premium comparisons,0,1,0
