video_id,extracted_aspects,Negative,Neutral,Positive
08H8R6pNiXI,absense,0,0,1
08H8R6pNiXI,absolutely fan boy,0,1,0
08H8R6pNiXI,air flow partner partner,0,1,0
08H8R6pNiXI,apple airplay,1,0,0
08H8R6pNiXI,apple carplay,1,0,0
08H8R6pNiXI,apples bananas,0,1,0
08H8R6pNiXI,automatically adjustable airvents,0,1,0
08H8R6pNiXI,autopilot standard,1,0,0
08H8R6pNiXI,bad battery range high speed,1,0,0
08H8R6pNiXI,beauty eye,0,1,0
08H8R6pNiXI,breaker,1,0,0
08H8R6pNiXI,cameras,0,1,0
08H8R6pNiXI,carplay android auto,1,0,0
08H8R6pNiXI,cases,0,1,0
08H8R6pNiXI,china km range,1,0,0
08H8R6pNiXI,comforting reasonable access,0,1,0
08H8R6pNiXI,compare prices,1,0,0
08H8R6pNiXI,comparison,0,2,0
08H8R6pNiXI,competition,1,0,0
08H8R6pNiXI,cost,1,0,0
08H8R6pNiXI,could one one comparisons brands models,0,1,0
08H8R6pNiXI,country,0,1,0
08H8R6pNiXI,cut production id slowing id output,1,0,0
08H8R6pNiXI,d fun enyaq,0,1,0
08H8R6pNiXI,d guts,0,1,0
08H8R6pNiXI,d som thing happend wel,0,1,0
08H8R6pNiXI,dc fast charging,1,0,0
08H8R6pNiXI,dc fast charging rate,1,0,0
08H8R6pNiXI,dealers,2,0,0
08H8R6pNiXI,dealership,0,1,0
08H8R6pNiXI,demand,1,0,0
08H8R6pNiXI,devils,0,1,0
08H8R6pNiXI,diess contributory factor,0,0,1
08H8R6pNiXI,disagree base autopilot industry,1,0,0
08H8R6pNiXI,doesnt dealer network worth talking owners,0,1,0
08H8R6pNiXI,drive model,1,0,0
08H8R6pNiXI,drives,0,1,0
08H8R6pNiXI,elmo money,0,0,1
08H8R6pNiXI,em,1,0,0
08H8R6pNiXI,enough ccs fast chargers,1,0,0
08H8R6pNiXI,etc model,0,1,0
08H8R6pNiXI,even close model,0,1,0
08H8R6pNiXI,evs,0,1,0
08H8R6pNiXI,example owners,0,1,0
08H8R6pNiXI,excellent build quality,0,1,0
08H8R6pNiXI,fan base,0,1,0
08H8R6pNiXI,frunk wasted opportunity opinion,1,0,0
08H8R6pNiXI,germany,1,0,0
08H8R6pNiXI,half usd bad marketing strategy,1,0,0
08H8R6pNiXI,hands test drive,0,1,0
