,tesla,ev,electric,battery,looks,time,charging,range,price,use
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,-2,0,0,0,0,0,0,0,0,0
3,-1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,-1,0,0,0,0,0,0,0,0,0
7,-8,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,-1,0,0,0,0,0,0,0,0,0
10,-1,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,1
12,-3,0,0,0,0,-1,0,0,-2,0
13,-42,2,0,0,0,0,0,0,0,-2
14,0,0,0,0,0,-1,0,0,0,0
15,1,0,0,0,0,0,0,0,-1,0
16,-7,0,0,0,1,-1,0,1,-1,0
17,-9,0,0,0,0,0,0,0,0,-2
18,-3,0,-1,-1,0,-1,0,-1,0,0
19,-2,0,0,-3,0,-2,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,-6,0,-1,0,0,0,-1,0,-1,-3
22,0,0,0,0,0,0,0,0,0,0
23,-2,-1,-1,-5,0,-2,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
