,tesla,ev,electric,battery,looks,time,charging,range,price,use
0,-2,0,0,0,0,0,0,0,0,0
1,0,-1,0,0,0,0,0,0,0,0
2,-3,0,0,0,0,-1,0,0,0,0
3,-1,0,0,0,0,0,0,0,0,0
4,-2,0,0,0,0,0,0,1,0,0
5,-1,0,0,0,0,0,0,0,0,0
6,-3,0,0,1,0,0,0,-1,0,0
7,-4,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0
9,-3,0,0,0,0,0,0,0,0,0
10,0,0,0,-1,0,0,0,0,0,0
11,-4,0,0,0,0,0,0,0,0,-1
12,-1,0,0,0,0,0,0,0,0,0
13,-22,-2,0,0,0,0,0,0,0,0
14,-4,0,0,0,0,-4,0,0,0,0
15,-7,0,0,0,0,-5,0,0,0,0
16,-7,0,0,0,0,0,0,0,0,-1
17,-8,0,0,0,0,0,0,0,0,-2
18,-22,0,1,-2,-1,0,0,-2,1,0
19,-1,0,0,-1,0,1,0,0,0,0
20,-1,0,0,-1,0,0,0,0,0,0
21,-10,0,0,0,0,-1,1,-1,0,0
22,0,0,0,0,0,0,0,0,0,0
23,-1,1,0,-5,0,0,0,-1,0,0
24,-1,0,0,0,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0,0,0
26,0,0,-1,0,0,0,0,0,0,0
