,tesla,ev,electric,battery,looks,time,charging,range,price,use
0,-1,0,0,0,0,0,0,0,0,0
1,-1,1,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,1,0,0
4,-1,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0
6,-2,0,0,0,0,1,0,0,0,0
7,1,1,0,0,0,0,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0
9,-4,0,0,0,0,0,0,0,0,0
10,1,0,0,-1,0,0,0,0,1,0
11,-6,0,0,0,0,0,0,3,0,-1
12,-1,0,0,1,0,1,0,3,2,0
13,38,2,0,0,0,2,0,0,0,-2
14,6,0,0,0,0,-2,0,0,0,1
15,7,0,0,0,0,-3,0,1,1,0
16,8,0,-1,0,1,3,0,1,3,-1
17,-5,0,0,0,0,1,0,0,0,-1
18,4,0,1,-1,-1,3,0,0,0,0
19,3,1,2,0,0,2,0,1,0,1
20,0,0,0,-1,0,0,0,0,0,0
21,28,0,1,0,0,-1,1,-1,1,2
22,0,0,0,0,0,0,0,0,0,0
23,1,1,1,0,0,4,0,-1,0,1
24,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,1,0,0,0,0
26,0,0,-1,0,0,0,0,0,0,0
