video_id,topics,Negative,Neutral,Positive
08H8R6pNiXI,autopilot,11,9,21
08H8R6pNiXI,battery,11,9,21
08H8R6pNiXI,charging,11,9,21
08H8R6pNiXI,crossover,11,9,21
08H8R6pNiXI,dc fast charging,11,9,21
08H8R6pNiXI,driver assistance,11,9,21
08H8R6pNiXI,infotainment,11,9,21
08H8R6pNiXI,network,11,9,21
08H8R6pNiXI,range,11,9,21
08H8R6pNiXI,tax credit,11,9,21
08H8R6pNiXI,tesla,11,9,21
2I300RpQl3c,battery,6,11,35
2I300RpQl3c,chargepoint,6,11,35
2I300RpQl3c,charger,6,11,35
2I300RpQl3c,charging,6,11,35
2I300RpQl3c,charging station,6,11,35
2I300RpQl3c,dc fast charging,6,11,35
2I300RpQl3c,electrify america,6,11,35
2I300RpQl3c,fast charging,6,11,35
2I300RpQl3c,home charging,6,11,35
2I300RpQl3c,range,6,11,35
2I300RpQl3c,smart charging,6,11,35
2I300RpQl3c,supercharger,6,11,35
2I300RpQl3c,tesla,6,11,35
6-XUGVmh0MA,battery,44,54,105
6-XUGVmh0MA,charging,44,54,105
6-XUGVmh0MA,crossover,44,54,105
6-XUGVmh0MA,range,44,54,105
6-XUGVmh0MA,rivian,44,54,105
6-XUGVmh0MA,state of charge,44,54,105
6-XUGVmh0MA,tesla,44,54,105
6-XUGVmh0MA,touchscreen,44,54,105
6-XUGVmh0MA,warranty,44,54,105
By1G_b7oRAc,battery,44,64,131
By1G_b7oRAc,battery swap,44,64,131
By1G_b7oRAc,capacity,44,64,131
By1G_b7oRAc,charge time,44,64,131
By1G_b7oRAc,chargepoint,44,64,131
By1G_b7oRAc,charger,44,64,131
By1G_b7oRAc,charging,44,64,131
By1G_b7oRAc,charging station,44,64,131
By1G_b7oRAc,degradation,44,64,131
By1G_b7oRAc,electrify america,44,64,131
By1G_b7oRAc,fast charging,44,64,131
By1G_b7oRAc,home charging,44,64,131
By1G_b7oRAc,network,44,64,131
By1G_b7oRAc,range,44,64,131
By1G_b7oRAc,road trip,44,64,131
By1G_b7oRAc,self-driving,44,64,131
By1G_b7oRAc,state of charge,44,64,131
By1G_b7oRAc,supercharger,44,64,131
By1G_b7oRAc,tesla,44,64,131
By1G_b7oRAc,tesla supercharger,44,64,131
C3nc4gZ7fTg,battery,20,23,50
C3nc4gZ7fTg,bidirectional charging,20,23,50
C3nc4gZ7fTg,charging,20,23,50
C3nc4gZ7fTg,fast charging,20,23,50
C3nc4gZ7fTg,federal tax credit,20,23,50
C3nc4gZ7fTg,network,20,23,50
C3nc4gZ7fTg,range,20,23,50
C3nc4gZ7fTg,tesla,20,23,50
C3nc4gZ7fTg,tesla supercharger,20,23,50
CUwI3-JzpKQ,battery,4,6,6
CUwI3-JzpKQ,bmw i3,4,6,6
CUwI3-JzpKQ,ccs,4,6,6
CUwI3-JzpKQ,charger,4,6,6
CUwI3-JzpKQ,charging,4,6,6
CUwI3-JzpKQ,charging station,4,6,6
CUwI3-JzpKQ,dc fast charging,4,6,6
CUwI3-JzpKQ,electrify america,4,6,6
CUwI3-JzpKQ,fast charging,4,6,6
CUwI3-JzpKQ,network,4,6,6
CUwI3-JzpKQ,nissan leaf,4,6,6
CUwI3-JzpKQ,plug-in hybrid,4,6,6
CUwI3-JzpKQ,range,4,6,6
CUwI3-JzpKQ,supercharger,4,6,6
CUwI3-JzpKQ,suv,4,6,6
CUwI3-JzpKQ,tesla,4,6,6
