video,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
0,10,10,10,10,0,0,10,0,0,0
1,0,15,15,15,0,0,0,0,15,0
2,0,25,25,25,25,0,0,0,25,0
3,61,61,61,61,0,0,0,61,0,0
4,13,13,13,13,0,0,13,0,0,0
5,38,38,38,38,0,0,38,38,38,38
6,30,30,30,30,0,0,30,0,0,0
7,0,75,75,0,0,0,0,75,0,0
8,8,8,8,8,0,0,8,0,0,0
9,5,5,5,5,0,0,5,0,0,5
10,15,0,15,15,15,0,0,0,0,15
11,0,14,14,0,0,0,0,0,0,0
12,56,56,56,56,0,56,56,56,56,0
13,334,334,0,334,334,334,334,334,334,0
14,42,42,42,42,42,0,0,0,42,0
15,0,133,0,133,0,0,0,133,0,0
16,98,98,98,98,0,0,0,0,0,0
17,0,87,87,87,87,0,0,0,0,0
18,107,107,107,107,107,0,0,0,107,107
19,87,87,87,87,87,0,87,0,87,87
20,29,29,29,29,29,0,0,0,29,0
21,134,134,134,134,0,0,134,134,134,0
22,2,2,2,2,2,2,2,0,2,0
23,0,0,0,0,0,0,0,0,0,0
24,26,26,26,26,26,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
26,5,5,5,5,5,0,5,0,5,5
