Entity,Label,Avg_Sentiment,Sentiment_Category
Guy,PER,0.586,Neutral
Tesla,ORG,0.625,Positive
Electric Car,ORG,0.567,Neutral
Mexico,LOC,0.526,Neutral
Vietnam,LOC,0.582,Neutral
Nice,ORG,0.958,Very Positive
America,LOC,0.551,Neutral
Cali,LOC,0.556,Neutral
Vinfast,ORG,0.668,Positive
U. S,LOC,0.57,Neutral
VinFast,MISC,0.643,Positive
Chinese,MISC,0.532,Neutral
Tim,PER,0.725,Positive
Africa,LOC,0.491,Neutral
Tesla,MISC,0.598,Neutral
Te,MISC,0.601,Positive
Model Y,MISC,0.673,Positive
Vin,ORG,0.638,Positive
Western,MISC,0.606,Positive
Vietnamese,MISC,0.45,Neutral
Vinfast,MISC,0.544,Neutral
UK,LOC,0.612,Positive
States,LOC,0.791,Positive
Europe,LOC,0.526,Neutral
Taiwan,LOC,0.405,Neutral
US,LOC,0.585,Neutral
Porsche,ORG,0.686,Positive
Mac,MISC,0.66,Positive
VW,ORG,0.56,Neutral
US,MISC,0.61,Positive
EPA,ORG,0.501,Neutral
Asian,MISC,0.59,Neutral
Ford,ORG,0.62,Positive
Mustang,MISC,0.719,Positive
Chrysler,ORG,0.662,Positive
China,LOC,0.536,Neutral
Ukraine,LOC,0.388,Low
Earth,LOC,0.603,Positive
BMW,ORG,0.626,Positive
Vinfast,PER,0.452,Neutral
USA,LOC,0.588,Neutral
Tesla Model 3,MISC,0.624,Positive
Model 3,MISC,0.652,Positive
Full,MISC,0.653,Positive
Charge,MISC,0.707,Positive
UK,MISC,0.591,Neutral
North American,MISC,0.624,Positive
Australia,LOC,0.617,Positive
Honda,ORG,0.576,Neutral
Mitsubishi,ORG,0.535,Neutral
Asia,LOC,0.602,Positive
American,MISC,0.605,Positive
Elliot,PER,0.773,Positive
CCP,ORG,0.466,Neutral
Vin,PER,0.684,Positive
French,MISC,0.53,Neutral
India,LOC,0.435,Neutral
Ricky,PER,0.738,Positive
Eric,PER,0.783,Positive
Germany,LOC,0.577,Neutral
Ferrari,ORG,0.692,Positive
Fiat,ORG,0.657,Positive
FC,ORG,0.66,Positive
Renault,ORG,0.587,Neutral
Tesla,PER,0.589,Neutral
BMW X5,MISC,0.757,Positive
Toyota,ORG,0.594,Neutral
Hyundai,ORG,0.532,Neutral
Italian,MISC,0.609,Positive
Ontario Canada,LOC,0.617,Positive
VF,MISC,0.59,Neutral
Ma,MISC,0.825,Very Positive
Mu,PER,0.621,Positive
Vin,MISC,0.543,Neutral
Japanese,MISC,0.612,Positive
German,MISC,0.556,Neutral
Pi,PER,0.574,Neutral
Italians,MISC,0.563,Neutral
ICE,MISC,0.578,Neutral
iPhone,MISC,0.594,Neutral
Fremont,LOC,0.706,Positive
California,LOC,0.543,Neutral
Ricky Roy,PER,0.705,Positive
ICE,ORG,0.614,Positive
Te,PER,0.605,Positive
Cars,MISC,0.547,Neutral
Ty,ORG,0.6,Neutral
Jack,PER,0.776,Positive
Americans,MISC,0.563,Neutral
Georgia,LOC,0.697,Positive
European,MISC,0.612,Positive
EU,ORG,0.569,Neutral
Full,PER,0.595,Neutral
Toyota,MISC,0.627,Positive
AU,MISC,0.561,Neutral
Sony,ORG,0.672,Positive
Fully Charged,ORG,0.585,Neutral
DC,MISC,0.66,Positive
Bay Area,LOC,0.443,Neutral
Po,MISC,0.701,Positive
DOA,ORG,0.473,Neutral
U. K.,LOC,0.787,Positive
YouTube,ORG,0.661,Positive
St,PER,0.539,Neutral
Japan,LOC,0.564,Neutral
Singapore,LOC,0.542,Neutral
Auto,ORG,0.372,Low
Car,MISC,0.685,Positive
Lo,PER,0.778,Positive
Da,PER,0.616,Positive
FCS,ORG,0.648,Positive
Ch,MISC,0.663,Positive
Toyota Corolla,MISC,0.64,Positive
Android Auto,MISC,0.618,Positive
United States,LOC,0.746,Positive
IMHO,ORG,0.641,Positive
Ta,ORG,0.589,Neutral
Zoe,MISC,0.659,Positive
OTA,ORG,0.697,Positive
XC40,MISC,0.823,Very Positive
Polestar 2,MISC,0.57,Neutral
MA,ORG,0.537,Neutral
Aptera,MISC,0.669,Positive
South Australia,LOC,0.493,Neutral
Russian,MISC,0.474,Neutral
OPEC,ORG,0.533,Neutral
Russia,LOC,0.461,Neutral
Te,ORG,0.606,Positive
F150,MISC,0.51,Neutral
Michigan,LOC,0.689,Positive
F1,MISC,0.654,Positive
Oil,MISC,0.313,Low
San Diego,LOC,0.673,Positive
Internet,MISC,0.634,Positive
BS,MISC,0.488,Neutral
Montreal,LOC,0.606,Positive
El,ORG,0.606,Positive
Los Angeles,LOC,0.534,Neutral
Telsa,ORG,0.655,Positive
El,PER,0.6,Neutral
Powerwall,MISC,0.699,Positive
Texas,LOC,0.55,Neutral
East,LOC,0.506,Neutral
North,LOC,0.554,Neutral
Musk,ORG,0.599,Neutral
Dallas,LOC,0.571,Neutral
AC,MISC,0.573,Neutral
Pacific,LOC,0.483,Neutral
Ford Escape,MISC,0.626,Positive
Edison,ORG,0.389,Low
EA,ORG,0.636,Positive
Nikola,PER,0.672,Positive
Arizona,LOC,0.659,Positive
Florida,LOC,0.543,Neutral
YouTube,MISC,0.631,Positive
South Korea,LOC,0.609,Positive
Co,ORG,0.649,Positive
CE,MISC,0.501,Neutral
Li,MISC,0.645,Positive
Coal,MISC,0.48,Neutral
LOL,ORG,0.776,Positive
Natural Gas,ORG,0.707,Positive
Coal,ORG,0.805,Very Positive
Uk,LOC,0.561,Neutral
Ko,ORG,0.719,Positive
Netherlands,LOC,0.564,Neutral
God,PER,0.661,Positive
Norway,LOC,0.7,Positive
Big Oil,ORG,0.491,Neutral
Hawaii,LOC,0.646,Positive
Ioniq 5,MISC,0.693,Positive
Ireland,LOC,0.621,Positive
Nuclear,ORG,0.546,Neutral
Fully Charged,MISC,0.775,Positive
Communist,MISC,0.513,Neutral
Ioniq,MISC,0.736,Positive
Sydney,LOC,0.692,Positive
British,MISC,0.555,Neutral
Wu,PER,0.622,Positive
Mini,MISC,0.736,Positive
Lithuania,LOC,0.705,Positive
Canada,LOC,0.592,Neutral
Bob,PER,0.699,Positive
Utah,LOC,0.647,Positive
Zap,MISC,0.706,Positive
SEC,ORG,0.345,Low
London,LOC,0.7,Positive
West,LOC,0.61,Positive
South,LOC,0.595,Neutral
Austria,LOC,0.595,Neutral
Power,ORG,0.581,Neutral
Green Energy,ORG,0.756,Positive
Electric,MISC,0.707,Positive
Ford Model T,MISC,0.763,Positive
ZERO,ORG,0.532,Neutral
Robert,PER,0.689,Positive
Spain,LOC,0.609,Positive
Elon,ORG,0.565,Neutral
Ha,PER,0.577,Neutral
CA,LOC,0.611,Positive
TX,LOC,0.481,Neutral
Green,ORG,0.387,Low
Zero,MISC,0.665,Positive
Jim,PER,0.89,Very Positive
Thailand,LOC,0.644,Positive
Thai,MISC,0.705,Positive
Elon Musk,ORG,0.653,Positive
Full,ORG,0.783,Positive
Charge,ORG,0.695,Positive
Bill Gates,PER,0.531,Neutral
NYC,LOC,0.665,Positive
LA,LOC,0.492,Neutral
Chicago,LOC,0.52,Neutral
Solar,MISC,0.726,Positive
Canadian,MISC,0.599,Neutral
Belgium,LOC,0.567,Neutral
Solar,ORG,0.675,Positive
Scottish,MISC,0.683,Positive
Scotland,LOC,0.676,Positive
BP,ORG,0.593,Neutral
Phoenix,LOC,0.559,Neutral
Green New Deal,MISC,0.669,Positive
Reg,PER,0.738,Positive
England,LOC,0.597,Neutral
Uk,MISC,0.573,Neutral
Walmart,ORG,0.545,Neutral
Can,PER,0.71,Positive
Canoo,MISC,0.591,Neutral
Ka,MISC,0.6,Neutral
Austin Allegro,MISC,0.605,Positive
Canoo,ORG,0.613,Positive
VW,MISC,0.57,Neutral
Amazon,ORG,0.661,Positive
FedEx,ORG,0.716,Positive
UPS,ORG,0.604,Positive
France,LOC,0.606,Positive
GM,ORG,0.593,Neutral
Tony,PER,0.718,Positive
Apple,ORG,0.638,Positive
Can,ORG,0.743,Positive
Amazon,MISC,0.835,Very Positive
Youtub,MISC,0.572,Neutral
Paul G,PER,0.609,Positive
OR,LOC,0.55,Neutral
Volkswagen,ORG,0.599,Neutral
Van,MISC,0.619,Positive
USPS,ORG,0.58,Neutral
Cy,MISC,0.627,Positive
BS,ORG,0.514,Neutral
TD,MISC,0.424,Neutral
AL,MISC,0.395,Low
Cit,PER,0.638,Positive
Prius,MISC,0.705,Positive
R & D,ORG,0.599,Neutral
Pennsylvania,LOC,0.696,Positive
Co,MISC,0.518,Neutral
Wal - Mart,ORG,0.641,Positive
RHD,MISC,0.639,Positive
Britain,LOC,0.532,Neutral
am,LOC,0.448,Neutral
Houston,LOC,0.538,Neutral
NJ,LOC,0.708,Positive
BMW i3,MISC,0.632,Positive
UP,ORG,0.68,Positive
Tri,MISC,0.621,Positive
New York,LOC,0.621,Positive
Ohio,LOC,0.604,Positive
Amazon,LOC,0.714,Positive
Ke,MISC,0.73,Positive
NASA,ORG,0.49,Neutral
Buzz,MISC,0.616,Positive
United States of America,LOC,0.724,Positive
Bo,MISC,0.579,Neutral
Sun,ORG,0.827,Very Positive
Sub,ORG,0.488,Neutral
Zero,ORG,0.858,Very Positive
Black,MISC,0.403,Neutral
Oklahoma,LOC,0.483,Neutral
Cal,LOC,0.66,Positive
Cy,LOC,0.597,Neutral
Charged,MISC,0.623,Positive
Detroit,LOC,0.595,Neutral
Indian,MISC,0.634,Positive
IMO,ORG,0.7,Positive
De,MISC,0.503,Neutral
Joe,PER,0.648,Positive
Buzz,PER,0.559,Neutral
Transit,ORG,0.601,Positive
Sweden,LOC,0.618,Positive
IMH,ORG,0.775,Positive
Covid,MISC,0.536,Neutral
BMW,MISC,0.636,Positive
Tesla E,MISC,0.601,Positive
Mercedes,MISC,0.645,Positive
African,MISC,0.534,Neutral
Tucson,LOC,0.573,Neutral
DHL,ORG,0.7,Positive
Mars,LOC,0.596,Neutral
Ma,PER,0.433,Neutral
BT,ORG,0.723,Positive
MI,ORG,0.609,Positive
The Boring Company,ORG,0.608,Positive
Rick,PER,0.612,Positive
Nissan Leaf,MISC,0.598,Neutral
Sandy Munro,PER,0.571,Neutral
Hell,LOC,0.54,Neutral
Aptera,ORG,0.73,Positive
Fully Charged Show,MISC,0.522,Neutral
DC,ORG,0.678,Positive
Portugal,LOC,0.535,Neutral
Sun,MISC,0.55,Neutral
Boston,LOC,0.617,Positive
Polestar,MISC,0.522,Neutral
English,MISC,0.659,Positive
Cadillac,ORG,0.567,Neutral
Electric,ORG,0.644,Positive
Semi,MISC,0.6,Neutral
Diesel,MISC,0.648,Positive
Australian,MISC,0.51,Neutral
Switzerland,LOC,0.694,Positive
Tesla Semi,MISC,0.587,Neutral
Midwest,LOC,0.67,Positive
Te,LOC,0.487,Neutral
Quebec,LOC,0.782,Positive
Engineering,ORG,0.501,Neutral
Southampton,LOC,0.662,Positive
Volvo,ORG,0.632,Positive
AL,ORG,0.488,Neutral
Daimler,ORG,0.655,Positive
Nikola,ORG,0.584,Neutral
Chris,PER,0.416,Neutral
Hu,PER,0.515,Neutral
Ian,PER,0.69,Positive
Pepsi,ORG,0.721,Positive
SF,LOC,0.701,Positive
Northern California,LOC,0.665,Positive
Do,MISC,0.529,Neutral
Driving,MISC,0.611,Positive
Vehicles,MISC,0.936,Very Positive
GM,MISC,0.337,Low
Ion,MISC,0.698,Positive
Mercedes,ORG,0.617,Positive
Full Self Driving,MISC,0.545,Neutral
AI,MISC,0.59,Neutral
Lyft,ORG,0.576,Neutral
Brisbane,LOC,0.649,Positive
Queensland,LOC,0.582,Neutral
WA,LOC,0.57,Neutral
Shell,ORG,0.583,Neutral
Li,ORG,0.653,Positive
MA,MISC,0.457,Neutral
SM,ORG,0.527,Neutral
Denver,LOC,0.656,Positive
Model X,MISC,0.615,Positive
Interstate,MISC,0.663,Positive
Tesla Supercharger,MISC,0.463,Neutral
Nissan,MISC,0.603,Positive
Elons,ORG,0.552,Neutral
U. S.,LOC,0.604,Positive
HD,MISC,0.727,Positive
Democrats,MISC,0.359,Low
Solo,MISC,0.523,Neutral
Solo,ORG,0.488,Neutral
Corolla,MISC,0.688,Positive
Tennessee,LOC,0.656,Positive
Corbin Sparrow,MISC,0.659,Positive
