,Fully Charged Show battery,Fully Charged Show tesla,Fully Charged Show range,Fully Charged Show charging,Fully Charged Show charger,Fully Charged Show suv,Fully Charged Show network,Fully Charged Show rivian,Fully Charged Show electrify america,Fully Charged Show capacity,Bjorn Nyland battery,Bjorn Nyland tesla,Bjorn Nyland range,Bjorn Nyland charging,Bjorn Nyland charger,Bjorn Nyland suv,Bjorn Nyland network,Bjorn Nyland rivian,Bjorn Nyland electrify america,Bjorn Nyland capacity,Electric Vehicle Man battery,Electric Vehicle Man tesla,Electric Vehicle Man range,Electric Vehicle Man charging,Electric Vehicle Man charger,Electric Vehicle Man suv,Electric Vehicle Man network,Electric Vehicle Man rivian,Electric Vehicle Man electrify america,Electric Vehicle Man capacity,Now You Know battery,Now You Know tesla,Now You Know range,Now You Know charging,Now You Know charger,Now You Know suv,Now You Know network,Now You Know rivian,Now You Know electrify america,Now You Know capacity,E for Electric battery,E for Electric tesla,E for Electric range,E for Electric charging,E for Electric charger,E for Electric suv,E for Electric network,E for Electric rivian,E for Electric electrify america,E for Electric capacity
1,-147,-147,-147,-147,0,-147,0,-147,-147,0,-59,-59,-59,-59,-59,0,0,0,0,0,-17,-17,-17,-17,-17,-17,0,0,0,-17,0,0,-206,0,0,0,0,-206,0,0,-23,-23,-23,-23,0,0,-23,0,0,0
2,-348,-348,0,0,0,0,0,0,-348,0,-16,-16,-16,-16,-16,0,0,0,0,0,-20,0,0,-20,0,-20,0,0,0,0,-871,-871,-871,-871,-871,-871,-871,-871,-871,-871,0,-23,-23,-23,0,0,0,0,-23,0
3,-751,0,-751,0,0,0,0,-751,-751,0,-7,-7,0,-7,-7,0,0,0,0,0,-109,-109,-109,0,-109,0,0,0,0,0,-115,-115,-115,-115,-115,0,-115,-115,-115,0,0,-59,-59,-59,-59,0,0,0,-59,0
4,-276,-276,-276,0,0,0,0,0,0,-276,-18,0,0,-18,-18,0,0,0,0,0,-27,0,0,0,0,0,-27,0,0,0,-57,-57,-57,-57,-57,0,0,-57,0,0,-92,-92,-92,-92,0,0,0,-92,0,0
5,-444,0,-444,-444,-444,0,0,0,0,0,-22,0,-22,-22,-22,0,0,0,0,0,-249,-249,-249,0,0,0,0,0,0,0,-90,-90,0,-90,0,0,-90,-90,0,0,-18,-18,-18,-18,0,0,-18,0,0,0
6,-108,-108,0,-108,0,-108,0,0,0,-108,-4,0,0,-4,-4,0,0,0,0,0,0,0,0,-44,-44,0,-44,0,0,-44,0,-38,0,0,-38,0,-38,0,0,0,-47,-47,-47,-47,0,0,-47,-47,-47,-47
7,-118,0,0,0,0,-118,0,0,0,0,-48,-48,-48,-48,-48,0,0,0,0,0,-98,-98,0,-98,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,-38,-38,-38,0,0,-38,0,0,0
8,0,0,0,0,0,0,0,0,0,0,-27,-27,-27,-27,-27,0,0,0,0,-27,0,0,0,-136,-136,0,-136,0,0,0,-92,0,-92,-92,-92,0,0,-92,-92,0,0,-122,-122,0,0,0,0,-122,0,0
9,-115,0,-115,0,0,0,0,0,0,-115,-15,-15,-15,-15,-15,0,0,0,0,-15,-69,-69,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-13,-13,-13,0,0,-13,0,0,0
10,-235,-235,-235,-235,0,0,0,0,0,-235,-4,-4,0,-4,-4,0,0,0,0,0,-63,-63,-63,0,-63,0,0,0,0,0,-95,0,-95,0,-95,0,0,0,0,0,-21,-21,-21,-21,0,0,-21,0,0,-21
11,-92,-92,-92,-92,0,-92,0,-92,0,0,-20,0,-20,-20,-20,0,0,0,0,0,-477,0,-477,0,0,0,-477,0,0,0,-65,-65,-65,0,0,0,0,0,0,-65,-14,0,-14,-14,-14,0,0,0,0,-14
