,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Fully Charged Show,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Bjorn Nyland,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Electric Vehicle Man,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,Now You Know,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric,E for Electric
,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
0,95.0,95.0,95.0,95.0,0.0,95.0,0.0,95.0,95.0,0.0,51.0,51.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,19.0,0,0,174,0,0,0,0,174,0,0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
1,212.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,533,533,533,533,533,533,533,533,533,533,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0
2,471.0,0.0,471.0,0.0,0.0,0.0,0.0,471.0,471.0,0.0,17.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,97,97,97,97,97,0,97,97,97,0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0
3,189.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,26.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,58,58,58,58,58,0,0,58,0,0,61.0,61.0,61.0,61.0,0.0,0.0,0.0,61.0,0.0,0.0
4,381.0,0.0,381.0,381.0,381.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,87,0,87,0,0,87,87,0,0,13.0,13.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0
5,59.0,59.0,0.0,59.0,0.0,59.0,0.0,0.0,0.0,59.0,15.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,43.0,0.0,0.0,43.0,0,55,0,0,55,0,55,0,0,0,38.0,38.0,38.0,38.0,0.0,0.0,38.0,38.0,38.0,38.0
6,90.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,98.0,98.0,0.0,98.0,0.0,0.0,0.0,70,0,70,70,70,0,0,70,70,0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
8,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0
9,68.0,68.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,95.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,76,0,76,0,76,0,0,0,0,0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0
10,106.0,106.0,106.0,106.0,0.0,106.0,0.0,106.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,237.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,80,80,80,0,0,0,0,0,0,80,15.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,15.0
11,0.0,408.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,88,88,88,88,88,88,0,0,0,0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,55.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,0,0,0,0,0,0,0,0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,56.0,56.0,0.0
13,174.0,0.0,174.0,174.0,0.0,174.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0,37,0,0,0,0,0,0,0,0,334.0,334.0,0.0,334.0,334.0,334.0,334.0,334.0,334.0,0.0
14,99.0,99.0,99.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,0.0,0.0,0.0,23,23,23,0,0,23,0,0,0,0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,42.0,0.0
15,523.0,0.0,523.0,523.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270,270,270,0,0,0,0,0,0,0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,133.0,0.0,0.0
