channel,video,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Fully Charged Show,0,95,95,95,95,0,95,0,95,95,0
Fully Charged Show,1,212,212,0,0,0,0,0,0,212,0
Fully Charged Show,2,471,0,471,0,0,0,0,471,471,0
Fully Charged Show,3,189,189,189,0,0,0,0,0,0,189
Fully Charged Show,4,381,0,381,381,381,0,0,0,0,0
Fully Charged Show,5,59,59,0,59,0,59,0,0,0,59
Fully Charged Show,6,90,0,0,0,0,90,0,0,0,0
Fully Charged Show,7,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,8,100,0,100,0,0,0,0,0,0,100
Fully Charged Show,9,68,68,68,68,0,0,0,0,0,68
Fully Charged Show,10,106,106,106,106,0,106,0,106,0,0
Fully Charged Show,11,0,408,0,408,0,0,0,0,0,0
Fully Charged Show,12,55,0,55,55,0,0,0,0,0,0
Fully Charged Show,13,174,0,174,174,0,174,0,0,0,0
Fully Charged Show,14,99,99,99,0,0,99,0,0,0,0
Fully Charged Show,15,523,0,523,523,0,523,0,0,0,0
Fully Charged Show,16,192,0,192,0,0,192,0,0,0,0
Fully Charged Show,17,56,0,56,0,56,0,0,0,0,0
Fully Charged Show,18,37,0,0,0,0,0,0,0,0,0
Fully Charged Show,19,248,0,248,248,0,0,0,0,0,0
Fully Charged Show,20,260,0,260,260,260,260,0,0,0,0
Fully Charged Show,21,27,0,27,0,0,0,0,0,0,0
Fully Charged Show,22,104,0,104,0,0,104,0,0,0,0
Fully Charged Show,23,154,0,154,0,0,0,0,0,0,0
Fully Charged Show,24,183,0,183,0,0,0,0,0,0,0
Fully Charged Show,25,174,0,174,0,0,0,0,0,0,0
Fully Charged Show,26,256,0,256,0,256,0,0,0,0,256
Fully Charged Show,27,274,0,274,0,0,0,0,0,0,0
Fully Charged Show,28,86,0,0,0,0,0,0,0,0,0
Fully Charged Show,29,174,0,174,174,0,0,0,0,0,174
Fully Charged Show,30,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,31,386,0,0,0,0,0,0,0,0,0
Fully Charged Show,32,109,0,109,109,109,0,0,0,0,109
Fully Charged Show,33,748,748,748,748,748,0,0,0,0,0
