channel,battery,tesla,range,charging,charger,suv,network,rivian,electrify america,capacity
Fully Charged Show,-147,-147,-147,-147,0,-147,0,-147,-147,0
Fully Charged Show,-348,-348,0,0,0,0,0,0,-348,0
Fully Charged Show,-751,0,-751,0,0,0,0,-751,-751,0
Fully Charged Show,-276,-276,-276,0,0,0,0,0,0,-276
Fully Charged Show,-444,0,-444,-444,-444,0,0,0,0,0
Fully Charged Show,-108,-108,0,-108,0,-108,0,0,0,-108
Fully Charged Show,-118,0,0,0,0,-118,0,0,0,0
Fully Charged Show,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,-115,0,-115,0,0,0,0,0,0,-115
Fully Charged Show,-235,-235,-235,-235,0,0,0,0,0,-235
Fully Charged Show,-92,-92,-92,-92,0,-92,0,-92,0,0
Fully Charged Show,0,-446,0,-446,0,0,0,0,0,0
Fully Charged Show,-88,0,-88,-88,0,0,0,0,0,0
Fully Charged Show,-232,0,-232,-232,0,-232,0,0,0,0
Fully Charged Show,-121,-121,-121,0,0,-121,0,0,0,0
Fully Charged Show,-539,0,-539,-539,0,-539,0,0,0,0
Fully Charged Show,-172,0,-172,0,0,-172,0,0,0,0
Fully Charged Show,-111,0,-111,0,-111,0,0,0,0,0
Fully Charged Show,-58,0,0,0,0,0,0,0,0,0
Fully Charged Show,-282,0,-282,-282,0,0,0,0,0,0
Fully Charged Show,-360,0,-360,-360,-360,-360,0,0,0,0
Fully Charged Show,-25,0,-25,0,0,0,0,0,0,0
Fully Charged Show,-254,0,-254,0,0,-254,0,0,0,0
Fully Charged Show,-212,0,-212,0,0,0,0,0,0,0
Fully Charged Show,-175,0,-175,0,0,0,0,0,0,0
Fully Charged Show,-205,0,-205,0,0,0,0,0,0,0
Fully Charged Show,-340,0,-340,0,-340,0,0,0,0,-340
Fully Charged Show,-342,0,-342,0,0,0,0,0,0,0
Fully Charged Show,-97,0,0,0,0,0,0,0,0,0
Fully Charged Show,-210,0,-210,-210,0,0,0,0,0,-210
Fully Charged Show,0,0,0,0,0,0,0,0,0,0
Fully Charged Show,-293,0,0,0,0,0,0,0,0,0
Fully Charged Show,-135,0,-135,-135,-135,0,0,0,0,-135
Fully Charged Show,-623,-623,-623,-623,-623,0,0,0,0,0
Fully Charged Show,-231,0,-231,-231,0,-231,0,0,0,0
Fully Charged Show,-129,0,-129,-129,0,0,0,0,0,0
Fully Charged Show,-238,-238,-238,-238,-238,0,-238,0,0,-238
Bjorn Nyland,-59,-59,-59,-59,-59,0,0,0,0,0
Bjorn Nyland,-16,-16,-16,-16,-16,0,0,0,0,0
Bjorn Nyland,-7,-7,0,-7,-7,0,0,0,0,0
Bjorn Nyland,-18,0,0,-18,-18,0,0,0,0,0
Bjorn Nyland,-22,0,-22,-22,-22,0,0,0,0,0
Bjorn Nyland,-4,0,0,-4,-4,0,0,0,0,0
Bjorn Nyland,-48,-48,-48,-48,-48,0,0,0,0,0
Bjorn Nyland,-27,-27,-27,-27,-27,0,0,0,0,-27
Bjorn Nyland,-15,-15,-15,-15,-15,0,0,0,0,-15
Bjorn Nyland,-4,-4,0,-4,-4,0,0,0,0,0
Bjorn Nyland,-20,0,-20,-20,-20,0,0,0,0,0
Bjorn Nyland,0,-29,0,0,0,-29,0,0,0,0
Bjorn Nyland,0,-16,0,0,0,-16,0,0,0,0
Bjorn Nyland,-16,-16,-16,0,0,-16,0,0,0,0
Bjorn Nyland,0,-11,0,0,0,0,0,0,0,0
Bjorn Nyland,0,0,0,0,0,-26,0,0,0,0
Bjorn Nyland,0,-37,0,0,0,-37,0,0,0,0
