topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
battery,-0.4458010229335093,-0.37888198757763975,-0.5850884582982309,-0.5349235635213495,-0.5800498753117207
tesla,-0.43870752831445703,-0.39850427350427353,-0.5601208459214502,-0.507555925749643,-0.5991155547010191
range,-0.4453945300220057,-0.44858156028368795,-0.5884485258579024,-0.5311794337328469,-0.5709100337049521
charging,-0.40429322169769305,-0.37760702524698136,-0.574719432959244,-0.4968184043073911,-0.6010214504596527
charger,-0.4205118625070054,-0.38130563798219586,-0.5796274038461539,-0.49773215564573886,-0.6255994098118776
suv,-0.4237015884347671,-0.3932926829268293,-0.5105189340813464,-0.5285067873303168,-0.6264418811002662
network,-0.6538461538461539,0.0,-0.6346967559943583,-0.48244717109747787,-0.5565819861431871
rivian,-0.4624007473143391,0.0,0.0,-0.47741321921065144,-0.612760834670947
electrify,-0.5189504373177842,0.0,0.0,-0.5031695721077655,-0.5973734785393978
capacity,-0.5139578163771712,-0.4609375,-0.5190615835777126,-0.5411382113821138,-0.6003386960203217
