topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
battery,0.36715613485123466,0.3498964803312629,0.43470935130581295,0.3440959409594096,0.2743142144638404
tesla,0.34843437708194536,0.36645299145299143,0.4595166163141994,0.3230009519276535,0.2757162084214574
range,0.3650424394844389,0.43439716312056736,0.42846785886901884,0.32325864165363905,0.2546020222971221
charging,0.3557495323773047,0.3600439077936334,0.4338452451269935,0.34589655735030184,0.27783452502553624
charger,0.3583037549037923,0.4198813056379822,0.4582331730769231,0.3638099785151587,0.2799704905938768
suv,0.3612350526503659,0.47865853658536583,0.3997194950911641,0.31176470588235294,0.34782608695652173
network,0.2967032967032967,0.0,0.4019746121297602,0.3215746421267894,0.3334872979214781
rivian,0.3138720224194302,0.0,0.0,0.3176414645744175,0.33346709470304975
electrify america,0.3240316534777176,0.0,0.0,0.34033280507131536,0.27994875080076875
capacity,0.32971464019851116,0.359375,0.375366568914956,0.33983739837398375,0.21761219305673157
