Topic,Fully Charged Show,Bjorn Nyland,Electric Vehicle Man,Now You Know,E for Electric
acceleration,57%,67%,68%,53%,45%
adas,N/A,N/A,N/A,N/A,58%
ai,50%,N/A,N/A,53%,58%
all-wheel drive,53%,N/A,N/A,53%,72%
autonomous driving,N/A,N/A,N/A,54%,58%
autopilot,N/A,N/A,64%,56%,54%
battery,56%,55%,63%,57%,54%
battery cooling system,63%,N/A,N/A,N/A,N/A
battery life,70%,N/A,65%,N/A,N/A
battery management system,N/A,N/A,55%,N/A,N/A
battery swap,N/A,N/A,N/A,N/A,49%
battery warranty,N/A,N/A,65%,66%,N/A
bev,N/A,N/A,57%,N/A,N/A
bidirectional charging,N/A,N/A,N/A,N/A,54%
bms,N/A,59%,55%,66%,N/A
bmw i3,N/A,30%,64%,N/A,38%
byd,N/A,69%,N/A,54%,N/A
capacity,56%,56%,58%,57%,52%
carbon footprint,57%,N/A,N/A,65%,N/A
cargo space,57%,N/A,N/A,55%,N/A
ccs,54%,57%,64%,55%,59%
chademo,N/A,N/A,63%,N/A,N/A
charge time,N/A,N/A,54%,54%,49%
chargepoint,N/A,N/A,N/A,N/A,60%
charger,55%,58%,64%,57%,55%
charging,55%,55%,62%,56%,55%
charging availability,N/A,N/A,N/A,55%,N/A
charging cable,53%,N/A,N/A,N/A,N/A
charging speed,N/A,56%,54%,55%,57%
charging station,N/A,40%,41%,54%,52%
crash test,52%,N/A,N/A,N/A,N/A
crossover,51%,53%,78%,46%,52%
daily commute,N/A,N/A,66%,N/A,N/A
dc fast charging,52%,N/A,N/A,N/A,51%
degradation,N/A,54%,60%,66%,53%
drag coefficient,55%,57%,N/A,64%,N/A
driver assistance,N/A,N/A,N/A,N/A,54%
electrify america,55%,N/A,N/A,56%,55%
energy density,59%,N/A,N/A,60%,45%
fast charging,55%,48%,58%,55%,51%
federal tax credit,N/A,N/A,N/A,N/A,56%
government policy,N/A,N/A,N/A,55%,N/A
handling,63%,N/A,59%,N/A,N/A
hev,57%,N/A,N/A,N/A,N/A
home charging,61%,62%,62%,54%,52%
horsepower,53%,N/A,63%,65%,60%
hybrid,51%,68%,61%,58%,N/A
incentive,N/A,N/A,59%,51%,N/A
infotainment,50%,N/A,54%,N/A,52%
instant torque,N/A,N/A,69%,N/A,N/A
interior design,N/A,N/A,54%,N/A,N/A
kwh,N/A,53%,69%,N/A,N/A
level 2 charger,N/A,N/A,N/A,54%,N/A
lithium-ion,N/A,N/A,N/A,63%,45%
lucid motors,N/A,N/A,N/A,N/A,45%
maintenance cost,N/A,N/A,N/A,66%,N/A
mileage,49%,N/A,61%,54%,39%
mobile app,56%,N/A,N/A,N/A,N/A
network,57%,N/A,62%,54%,57%
nhtsa,N/A,N/A,N/A,N/A,58%
nissan leaf,N/A,N/A,64%,55%,38%
over-the-air,N/A,N/A,65%,N/A,N/A
plug-in hybrid,N/A,N/A,62%,54%,38%
preconditioning,N/A,N/A,66%,N/A,N/A
public charger,N/A,62%,58%,N/A,N/A
public charging network,N/A,N/A,58%,N/A,N/A
range,56%,61%,63%,56%,53%
range anxiety,62%,N/A,47%,55%,N/A
real-world range,N/A,N/A,60%,N/A,N/A
recall,N/A,N/A,N/A,49%,57%
regenerative braking,58%,N/A,66%,N/A,N/A
rivian,53%,N/A,N/A,54%,58%
road trip,55%,59%,52%,56%,49%
sedan,63%,60%,N/A,N/A,N/A
self-driving,59%,N/A,41%,59%,56%
service center,N/A,N/A,N/A,57%,N/A
slow charging,53%,N/A,N/A,N/A,N/A
smart charging,N/A,N/A,N/A,N/A,56%
software update,47%,N/A,N/A,55%,N/A
solid-state battery,N/A,N/A,N/A,N/A,45%
sport mode,55%,N/A,58%,N/A,N/A
state of charge,N/A,51%,65%,56%,58%
supercharger,N/A,60%,56%,55%,55%
suv,55%,62%,59%,55%,59%
tax credit,N/A,N/A,N/A,63%,55%
tesla,55%,56%,63%,55%,54%
tesla supercharger,61%,65%,70%,55%,55%
thermal management,63%,53%,58%,63%,N/A
top speed,57%,N/A,54%,65%,50%
torque,56%,N/A,N/A,55%,60%
total cost of ownership,N/A,N/A,64%,N/A,N/A
touchscreen,55%,N/A,60%,N/A,52%
user interface,50%,N/A,N/A,67%,N/A
v2g,N/A,N/A,N/A,66%,N/A
vehicle-to-grid,61%,N/A,N/A,66%,N/A
warranty,N/A,48%,61%,58%,54%
weight distribution,56%,N/A,N/A,N/A,N/A
