Content Creator,Playlist ID,Video ID,Positive Comments,Negative Comments,Neutral Comments,Positive %,Negative %,Neutral %,Overall Sentiment,Number of Topics,Topics
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,ZLKh8w3SGr0,166,52,172,42.6,13.3,44.1,Positive,15,"horsepower, ccs, tesla, range, software update, electrify america, all-wheel drive, charging, infotainment, suv, fast charging, crossover, rivian, ai, battery"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,7LMgmg0I0GA,273,58,217,49.8,10.6,39.6,Positive,6,"tesla, electrify america, vehicle-to-grid, tesla supercharger, battery, home charging"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,fpjcbTGaYgs,683,193,587,46.7,13.2,40.1,Positive,7,"cargo space, range, electrify america, all-wheel drive, rivian, battery, acceleration"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,oeh_bURqRPs,253,47,212,49.4,9.2,41.4,Positive,9,"regenerative braking, horsepower, self-driving, torque, tesla, range, capacity, battery, acceleration"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,yrpq8YFvZWs,494,155,502,42.9,13.5,43.6,Positive,8,"horsepower, range, charging, dc fast charging, top speed, crash test, battery, charger"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,SVxc3JLjIhg,85,26,72,46.4,14.2,39.3,Positive,9,"sport mode, tesla, charging, suv, crossover, capacity, mobile app, battery, drag coefficient"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,lDZfsUh1uRw,119,31,109,45.9,12.0,42.1,Positive,4,"road trip, cargo space, suv, battery"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,7_j8ZiIwDA8,81,23,89,42.0,11.9,46.1,Positive,1,drag coefficient
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,KyrSdgtx-Wo,130,27,119,47.1,9.8,43.1,Positive,5,"regenerative braking, range, weight distribution, capacity, battery"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,Y3Wa7aL3_Fg,193,85,237,37.5,16.5,46.0,Positive,7,"tesla, range, charging, hybrid, mileage, capacity, battery"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,Dlnd0m6T40w,115,41,132,39.9,14.2,45.8,Positive,6,"tesla, range, charging, suv, rivian, battery"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,wuACZvjH7tc,494,123,557,42.1,10.5,47.4,Positive,2,"charging, tesla"
Fully Charged Show,PLzD0K2OhbVfHtiJwiepCu_qwONFRaS06p,lYkfrUtz8c8,99,39,89,43.6,17.2,39.2,Positive,3,"range, battery, charging"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,gi74aTWkyv0,232,90,300,37.3,14.5,48.2,Positive,10,"horsepower, range, charging, all-wheel drive, infotainment, suv, crossover, touchscreen, battery, user interface"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,BFeBg6jJ6Fo,133,28,88,53.4,11.2,35.3,Positive,11,"hev, horsepower, self-driving, cargo space, tesla, range, hybrid, all-wheel drive, suv, weight distribution, battery"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,-y4LdgsidcU,567,101,555,46.4,8.3,45.4,Positive,4,"range, battery, charging, suv"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,bLvKsdjDi_k,194,31,157,50.8,8.1,41.1,Positive,9,"thermal management, horsepower, range, battery cooling system, top speed, suv, handling, sedan, battery"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,zUI2kUgt_uQ,87,22,85,44.8,11.3,43.8,Positive,4,"range, battery, energy density, charger"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,-TNwIBETzBA,58,15,60,43.6,11.3,45.1,Positive,4,"handling, battery, horsepower, acceleration"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,wMMq3j8zbjk,289,94,348,39.5,12.9,47.6,Positive,9,"slow charging, horsepower, torque, range, charging, charging cable, top speed, fast charging, battery"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,ETfosvPX-SU,377,126,394,42.0,14.0,43.9,Positive,9,"horsepower, sport mode, range, charging, all-wheel drive, hybrid, suv, battery, charger"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,BT_LmJUCxi0,42,12,32,48.8,14.0,37.2,Positive,3,"range, battery, all-wheel drive"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,hajp1FLvzjA,209,52,165,49.1,12.2,38.7,Positive,7,"range, suv, crossover, ai, battery, drag coefficient, acceleration"
Fully Charged Show,PLzD0K2OhbVfGMSJzuD7aCZZsMBqUlGz18,RC_LFdpvv44,206,91,214,40.3,17.8,41.9,Positive,6,"horsepower, range, hybrid, infotainment, crossover, battery"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,DqSt2uXnQrg,194,31,142,52.9,8.4,38.7,Positive,3,"range, battery, top speed"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,n5xZAM246aY,209,22,103,62.6,6.6,30.8,Positive,3,"range, battery, handling"
Fully Charged Show,PLzD0K2OhbVfFuEGsL_PpPRqj6Tf3cwY7n,qo6i5VcJ-ME,357,110,268,48.6,15.0,36.5,Positive,4,"range, battery, charger, capacity"
